Price,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA,GOOG,META,MSFT,NVDA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-11,129.79649353027344,216.23057556152344,280.1891174316406,218.89515686035156,129.79649353027344,216.4600067138672,285.260009765625,219.1699981689453,132.93919372558594,220.61000061035156,292.6099853515625,223.1999969482422,129.61749267578125,215.22000122070312,285.0,216.60000610351562,132.89999389648438,218.4199981689453,291.7900085449219,222.13999938964844,24188000,20516600,34569300,57520700
2022-04-12,128.37449645996094,213.9130401611328,277.04595947265625,214.7703094482422,128.37449645996094,214.13999938964844,282.05999755859375,215.0399932861328,132.42349243164062,222.02999877929688,290.739990234375,227.25,127.57599639892578,213.1300048828125,280.489990234375,212.82000732421875,132.42349243164062,220.24000549316406,289.239990234375,225.3699951171875,23004000,20128800,30966700,66225800
2022-04-13,130.28599548339844,214.76214599609375,282.5071716308594,221.75157165527344,130.28599548339844,214.99000549316406,287.6199951171875,222.02999877929688,130.65574645996094,216.61000061035156,288.5799865722656,225.0,128.4385986328125,211.3300018310547,281.29998779296875,214.5500030517578,128.62649536132812,211.82000732421875,282.7300109863281,217.27999877929688,19542000,19231800,21907200,51694300
2022-04-14,127.25299835205078,209.9572296142578,274.85565185546875,212.3134307861328,127.25299835205078,210.17999267578125,279.8299865722656,212.5800018310547,130.7102508544922,214.99000549316406,288.30999755859375,227.77000427246094,127.11150360107422,210.0,279.32000732421875,211.6300048828125,130.64950561523438,214.88999938964844,288.0899963378906,225.0500030517578,23484000,18379500,28221600,56909700
2022-04-18,127.96099853515625,210.54661560058594,275.5333557128906,217.55682373046875,127.96099853515625,210.77000427246094,280.5199890136719,217.8300018310547,128.71200561523438,213.3800048828125,282.4599914550781,220.8800048828125,126.57845306396484,208.3000030517578,278.3399963378906,210.7899932861328,127.41000366210938,210.0,278.9100036621094,212.0,14918000,16580800,20778000,52570100
2022-04-19,130.531005859375,217.0796661376953,280.2283935546875,221.7016143798828,130.531005859375,217.30999755859375,285.29998779296875,221.97999572753906,130.90374755859375,218.42999267578125,286.1700134277344,223.72999572753906,127.45149993896484,209.0,278.4100036621094,213.13999938964844,128.07699584960938,210.52000427246094,279.3800048828125,217.1999969482422,22720000,20089900,22297700,51278100
2022-04-20,128.24549865722656,200.20758056640625,281.2695007324219,214.55064392089844,128.24549865722656,200.4199981689453,286.3599853515625,214.82000732421875,131.92349243164062,214.16000366210938,289.70001220703125,226.6999969482422,127.89405059814453,198.9199981689453,285.3699951171875,212.0,131.28399658203125,213.61000061035156,289.3999938964844,225.1699981689453,22610000,43036500,22906700,46897400
2022-04-21,124.9375,187.87066650390625,275.8182373046875,201.576904296875,124.9375,188.07000732421875,280.80999755859375,201.8300018310547,130.3074951171875,202.97000122070312,293.29998779296875,223.9199981689453,124.6500015258789,185.5800018310547,280.05999755859375,200.0,129.35000610351562,201.60000610351562,288.5799865722656,217.08999633789062,30158000,49954100,29454600,65620900
2022-04-22,119.61399841308594,183.9148712158203,269.1587219238281,194.9052734375,119.61399841308594,184.11000061035156,274.0299987792969,195.14999389648438,125.4520034790039,192.72000122070312,283.20001220703125,204.86000061035156,119.1405029296875,183.27000427246094,273.3800048828125,195.0,125.0,190.3699951171875,281.67999267578125,203.02999877929688,46410000,36426800,29405800,62471300
2022-04-25,123.25,186.79180908203125,275.72979736328125,198.7704315185547,123.25,186.99000549316406,280.7200012207031,199.02000427246094,123.27799987792969,187.17999267578125,281.1099853515625,199.4499969482422,118.76924896240234,181.66000366210938,270.7699890136719,190.9600067138672,119.42949676513672,182.72999572753906,273.2900085449219,192.02000427246094,34522000,29281100,35678900,64156600
2022-04-26,119.50599670410156,180.75820922851562,265.41650390625,187.6444091796875,119.50599670410156,180.9499969482422,270.2200012207031,187.8800048828125,122.75,187.19000244140625,278.3599853515625,197.8800048828125,119.16184997558594,179.5,270.0,186.6999969482422,122.75,186.6300048828125,277.5,197.17999267578125,49394000,31747400,46518400,65314300
2022-04-27,115.02050018310547,174.7645721435547,278.18536376953125,183.91905212402344,115.02050018310547,174.9499969482422,283.2200012207031,184.14999389648438,117.5,181.2100067138672,290.9700012207031,191.6699981689453,113.12425231933594,169.0,279.1600036621094,182.89999389648438,114.37300109863281,174.42999267578125,282.1000061035156,185.97999572753906,62238000,71062900,63477700,49946000
2022-04-28,119.4114990234375,205.51194763183594,284.48138427734375,197.57191467285156,119.4114990234375,205.72999572753906,289.6300048828125,197.82000732421875,120.4384994506836,208.52999877929688,290.9800109863281,200.3699951171875,115.1438980102539,192.89999389648438,281.4599914550781,184.89999389648438,117.11499786376953,202.9199981689453,285.19000244140625,189.6699981689453,36790000,100890600,33646600,57032700
2022-04-29,114.96649932861328,200.2575225830078,272.586669921875,185.23741149902344,114.96649932861328,200.47000122070312,277.5199890136719,185.47000122070312,118.95999908447266,212.47999572753906,289.8800048828125,201.27999877929688,114.69400024414062,199.89999389648438,276.5,185.1699981689453,117.5780029296875,204.4600067138672,288.6099853515625,194.02000427246094,33694000,49193400,37073900,50043500
2022-05-02,117.15699768066406,210.90623474121094,279.41314697265625,195.0850830078125,117.15699768066406,211.1300048828125,284.4700012207031,195.3300018310547,117.3395004272461,211.8800048828125,284.94000244140625,195.74000549316406,113.39949798583984,200.99000549316406,276.2200012207031,183.91000366210938,113.90650177001953,201.1699981689453,277.7099914550781,185.41000366210938,30280000,49915300,35151100,57204900
2022-05-03,118.12950134277344,211.80526733398438,276.77093505859375,195.77418518066406,118.12950134277344,212.02999877929688,281.7799987792969,196.02000427246094,119.30000305175781,214.89999389648438,284.1300048828125,198.25,116.62699890136719,208.08999633789062,280.1499938964844,191.3300018310547,116.76499938964844,210.4499969482422,283.9599914550781,194.0,21216000,41556300,25978600,47575100
2022-05-04,122.57499694824219,223.1732177734375,284.8251953125,203.0850372314453,122.57499694824219,223.41000366210938,289.9800109863281,203.33999633789062,123.14299774169922,224.3000030517578,290.8800048828125,204.0,115.7385025024414,206.9600067138672,276.7300109863281,187.50999450683594,118.00350189208984,210.64999389648438,282.5899963378906,199.22999572753906,33232000,41375900,33599300,64885500
2022-05-05,116.74649810791016,208.0592498779297,272.4197082519531,188.2036895751953,116.74649810791016,208.27999877929688,277.3500061035156,188.44000244140625,121.2332534790039,220.1699981689453,286.3500061035156,199.25,115.18250274658203,206.16000366210938,274.3399963378906,185.0,120.22049713134766,218.74000549316406,285.5400085449219,198.6699981689453,43090000,41129200,43260400,62633100
2022-05-06,115.66000366210938,203.5540313720703,269.84625244140625,186.51580810546875,115.66000366210938,203.77000427246094,274.7300109863281,186.75,117.49849700927734,209.3800048828125,279.25,195.1199951171875,114.14299774169922,201.02000427246094,271.2699890136719,179.89999389648438,115.51899719238281,207.33999633789062,274.80999755859375,187.36000061035156,35310000,34747200,37780300,63329700
2022-05-09,113.08399963378906,196.00204467773438,259.876708984375,169.2874298095703,113.08399963378906,196.2100067138672,264.5799865722656,169.5,115.56289672851562,202.57000732421875,272.3599853515625,182.5500030517578,112.55149841308594,195.5800018310547,263.32000732421875,168.27000427246094,113.30349731445312,199.83999633789062,270.05999755859375,180.33999633789062,34520000,36303200,47726000,64445500
2022-05-10,114.58450317382812,197.4405059814453,264.7092590332031,175.72933959960938,114.58450317382812,197.64999389648438,269.5,175.9499969482422,116.69100189208984,202.9600067138672,273.75,181.97999572753906,113.38330078125,194.19000244140625,265.07000732421875,170.25,116.04049682617188,199.50999450683594,271.69000244140625,176.88999938964844,31158000,34452500,39336400,76147400
2022-05-11,113.96099853515625,188.5399627685547,255.91835021972656,166.0914764404297,113.96099853515625,188.74000549316406,260.54998779296875,166.3000030517578,116.6709976196289,200.6699981689453,271.3599853515625,177.52999877929688,113.6500015258789,188.27000427246094,259.29998779296875,165.67999267578125,113.71050262451172,196.3300018310547,265.67999267578125,173.47000122070312,36502000,31153400,48975900,67016700
2022-05-12,113.16100311279297,191.0373077392578,250.810791015625,161.54718017578125,113.16100311279297,191.24000549316406,255.35000610351562,161.75,114.85649871826172,198.0500030517578,259.8800048828125,167.8800048828125,110.1135025024414,184.77999877929688,250.02000427246094,155.6699981689453,111.93800354003906,187.05999755859375,257.69000244140625,162.19000244140625,41464000,38262200,51033800,70872800
2022-05-13,116.5155029296875,198.40948486328125,256.47821044921875,176.8379669189453,116.5155029296875,198.6199951171875,261.1199951171875,177.05999755859375,118.08499908447266,199.88999938964844,263.0400085449219,179.27999877929688,114.0,191.27999877929688,255.35000610351562,165.92999267578125,114.84549713134766,192.5800018310547,257.3500061035156,167.8800048828125,29738000,24549800,34925100,67043700
2022-05-16,114.7925033569336,199.82797241210938,256.8514404296875,172.4235076904297,114.7925033569336,200.0399932861328,261.5,172.63999938964844,116.60749816894531,205.3699951171875,265.82000732421875,177.8800048828125,114.33499908447266,195.92999267578125,255.77999877929688,171.05999755859375,115.38400268554688,197.0500030517578,259.9599914550781,175.08999633789062,23282000,27112600,32550900,52144600
