Date,meta_close,meta_high,meta_low,meta_open
2023-06-05,263.7071228027344,275.27260813262717,257.6655900867047,269.03200147354585
2023-06-12,279.6818542480469,286.49972758840875,264.08534744534035,265.9167429001578
2023-06-19,287.3756408691406,288.3112339621304,274.9243128572218,277.4225487091868
2023-06-26,285.6337890625,288.43060493535097,276.29778573985004,287.3457217653145
2023-07-03,289.1671447753906,296.72153702095966,283.5137965108333,285.3551243772098
2023-07-10,307.4211120605469,314.75653515318805,285.7034605475355,294.16358776553614
2023-07-17,292.879638671875,317.1850676589688,289.8339955346659,306.09734109478086
2023-07-24,323.95318603515625,324.66980973407146,286.94757412722345,294.3924964229301
2023-07-31,309.2723693847656,324.1323251228009,308.47610397844505,322.1715652229645
2023-08-07,300.2250671386719,316.3988408559604,298.95104226487763,311.760696563487
2023-08-14,281.9212646484375,305.7887845903582,273.0928789790184,299.5681035522197
2023-08-21,284.1607360839844,298.05524203004785,274.73515808891875,282.12036466467373
2023-08-28,294.98974609375,300.3245888357522,284.4593577288717,286.64905012263455
2023-09-04,296.49267578125,305.60968143486906,290.8492591837229,295.62673125217816
2023-09-11,298.9012451171875,311.4023238007236,297.34856549801344,299.99609109850775
2023-09-18,297.67706298828125,306.6149505636064,291.8943189503635,296.79125359255164
2023-09-25,298.80169677734375,309.18279239810414,285.4446674365076,294.2531578781591
2023-10-02,313.9503479003906,314.82622478441607,297.09977181717124,301.31987275901326
2023-10-09,313.21380615234375,328.989460608174,310.35727404989694,311.03407691139495
2023-10-16,307.2021484375,324.41105132600654,305.03238188372967,317.1453070269166
2023-10-23,295.33807373046875,316.8566511428037,278.0893503943368,308.0481597252112
2023-10-30,313.124267578125,317.3244734451798,295.4674624382411,297.68701279818424
2023-11-06,327.2277526855469,327.55622168900237,312.9749498582447,314.4977715235158
2023-11-13,333.4683532714844,336.8125771063272,324.17217037116524,324.6698248971422
2023-11-20,336.6434326171875,341.3114350698788,332.6223750522506,333.31910362332485
2023-11-27,323.2963562011719,338.30560624872146,319.2554030970459,334.6030546429123
2023-12-04,331.1890869140625,331.6071300804727,312.188640764284,315.8016174814358
2023-12-11,333.3489074707031,337.07135345361246,318.49888365551953,327.8547822880163
2023-12-18,351.7322998046875,355.5244250713496,335.4390642131106,335.89692827178817
2023-12-25,352.2995910644531,360.2023475360505,350.1696454423874,353.32475819492873
2024-01-01,350.2990417480469,351.8417586673994,338.41504894047284,349.6719921697221
2024-01-08,372.7333068847656,375.29125864223346,350.39856754699895,353.0361610446534
2024-01-15,381.65130615234375,382.55701075038246,356.92780010866574,371.8972582465695
2024-01-22,392.2911682128906,394.92873142081856,379.3720443381308,386.13020206195097
2024-01-29,472.7618408203125,483.6803824265086,385.2841433074227,393.1371159982948
