Date,goog_close,goog_high,goog_low,goog_open
2023-06-05,122.290771484375,128.93928106828588,121.4348250713694,124.02256668568552
2023-06-12,123.47516632080078,126.1027204892562,121.58412918559439,122.81330028610702
2023-06-19,122.4400634765625,124.58491088895629,119.03618764887612,122.95264268175832
2023-06-26,120.39973449707031,122.14148479254617,116.35887624146353,120.89339848200979
2023-07-03,119.57363891601562,122.78841548553152,118.68783513547667,119.75279066901385
2023-07-10,125.10742950439453,126.49087624165418,115.28396293071836,118.5086869894058
2023-07-17,119.74284362792969,126.67998753278815,118.12550404814439,125.4657375256315
2023-07-24,132.38294982910156,133.43796546264164,120.80777949231388,121.35121072660493
2023-07-31,127.93405151367188,133.19912278364845,127.17266594983417,132.3829810010309
2023-08-07,129.5563507080078,132.02167861483917,128.14304669503673,128.8994584354441
2023-08-14,127.50607299804688,131.86641709995956,126.40130507846943,129.23787587347715
2023-08-21,130.07391357421875,134.3337359088738,126.56055564662043,127.24729773758114
2023-08-28,136.15512084960938,137.92672862373806,130.23317249090783,131.45736995575894
2023-09-04,136.55322265625,136.8667401451377,133.3285060547942,135.79681083833543
2023-09-11,137.6480255126953,138.89213272957278,134.29390212893176,136.73236442349616
2023-09-18,130.6312713623047,139.2703454853736,129.89475434602193,136.98120011765332
2023-09-25,131.2284393310547,134.2541014929729,127.58568964359941,130.15352884032086
2023-10-02,138.0760040283203,138.5298632526382,131.44243040930147,131.53200249245444
2023-10-09,137.92672729492188,141.70881690175156,136.05558486918486,137.33951223556252
2023-10-16,136.09539794921875,141.3206488672401,135.60272110702797,139.07129303817928
2023-10-23,122.81827545166016,140.04667868471975,120.88741847208745,135.58778714062265
2023-10-30,129.7554168701172,130.1137203986835,123.29601355770144,123.87328119743928
2023-11-06,133.4280242919922,133.63704101159271,129.31748869699413,129.60613011040164
2023-11-13,136.29444885253906,138.22530586152138,132.14410861579427,132.7313236315982
2023-11-20,137.5684051513672,140.43483312892187,134.8512791566429,134.86122654742246
2023-11-27,132.69151306152344,139.01156891829,131.5290047636909,136.9214778044749
2023-12-04,135.99586486816406,139.3400261020885,128.78998947961588,130.67507336807282
2023-12-11,133.20904541015625,134.3984192092667,130.44215215130836,133.18915062905361
2023-12-18,142.04721069335938,142.5747110270623,133.1394045601048,133.2289766499355
2023-12-25,140.26564025878906,143.2664419477924,139.24049695536024,142.3059794735139
2024-01-01,136.74232482910156,140.42487950419343,136.2048771424727,138.94191328011433
2024-01-08,143.56002807617188,145.96861786989965,137.2300098328641,137.34943926808594
2024-01-15,147.2724609375,147.3421230557462,139.84762118418536,142.75385429039554
2024-01-22,153.0650177001953,154.03044627486136,146.49613962248043,148.00897850033726
