Date,msft_close,msft_high,msft_low,msft_open
2023-06-05,322.3771057128906,333.9881552960619,318.1450285317262,330.693261558964
2023-06-12,337.7072448730469,346.72383496475805,320.7691212772569,324.1429215617901
2023-06-19,330.4960021972656,337.46066414328004,327.58585597646925,334.72808004331597
2023-06-26,335.9414367675781,338.1018659336961,324.0541390558711,329.21352521012824
2023-07-03,332.6662902832031,338.35836321246217,330.20992407979753,334.6096892381061
2023-07-10,340.5779724121094,346.68438690739697,322.5842895637729,330.0816674524057
2023-07-17,339.1278076171875,361.8270961369778,335.2410099540345,341.0120190817496
2023-07-24,333.8007507324219,347.13820007654965,324.60659792174357,341.17975395006346
2023-07-31,323.3537292480469,333.9684381912943,321.54845441486714,332.370319134436
2023-08-07,316.6751708984375,326.6387589406983,314.8994595848591,323.93576884900534
2023-08-14,312.20635986328125,320.70007855568747,307.34291022409764,317.0500603089589
2023-08-21,319.293212890625,329.1790634705279,313.42101523262494,314.30084024624097
2023-08-28,324.9082946777344,328.2002688955857,318.0475135264787,321.94254018016153
2023-09-04,330.45428466796875,332.3227247289634,324.90833750765535,325.244452774715
2023-09-11,326.4505310058594,336.9690594310697,325.88703033061086,333.39038665572
2023-09-18,313.39129638671875,326.6284319852762,311.404231162296,324.05810531326813
2023-09-25,312.1456604003906,315.82319717862225,305.9175880325343,312.9760680381571
2023-10-02,323.5242919921875,325.4322535375942,307.6574868359446,312.66961933309204
2023-10-09,323.9889221191406,330.01926553838706,319.490842972773,321.0429284200652
2023-10-16,322.9410400390625,333.03448334197,321.73496526369917,327.2710165251538
2023-10-23,326.04522705078125,342.24815020948887,320.68711307111244,321.754771631413
2023-10-30,348.77276611328125,350.34464276794165,328.0421380401437,329.6041191909323
2023-11-06,365.4501953125,365.8752795812783,349.3164824131628,349.41534693756216
2023-11-13,365.6280822753906,372.05388326381853,361.7231603762762,364.01668427737235
2023-11-20,373.8788757324219,376.2166869742087,367.50938078172805,367.7273120819755
2023-11-27,370.98638916015625,380.6842570505084,367.8164846369156,373.2350207204779
2023-12-04,370.7090148925781,370.93683155749534,359.4855978741993,365.6272763877231
2023-12-11,367.2419738769531,374.08696432598265,360.7040643545854,365.013143146404
2023-12-18,371.0556640625,372.49203349403905,365.2111816242949,365.9739562485445
2023-12-25,372.5019836425781,373.61144112939365,369.30236266541067,371.4717601631997
2024-01-01,364.28997802734375,372.363291684647,363.0517388090319,370.34247681583616
2024-01-08,384.8150329589844,387.00423143493515,365.53813325080597,365.82538298385873
2024-01-15,394.9190979003906,394.9190979003906,381.18948498853746,389.95622517238843
2024-01-22,400.1295471191406,403.18058533275405,389.88683643433484,396.25633140621443
2024-01-29,407.35101318359375,411.4124441338593,393.4728174348504,402.239557725319
2024-02-05,416.5931701660156,416.8606491715924,399.1191548906411,406.04337858744765
2024-02-12,400.25836181640625,416.781419243168,399.594682502234,416.60312004507256
2024-02-19,407.23095703125,412.70912252547726,394.21036870084004,400.1847458252589
2024-02-26,412.3518371582031,412.71902889421233,400.79011300393796,408.3424389737666
2024-03-04,403.14215087890625,414.18782586848397,395.3714905997214,410.30744754749935
2024-03-11,413.2648620605469,424.57847993001866,398.2197234499208,400.7007813285923
2024-03-18,425.49151611328125,427.55577334437214,410.6448734154932,411.11131353427646
2024-03-25,417.53228759765625,424.1716011917084,415.8352524152555,422.01802953366814
2024-04-01,422.2959289550781,425.4220864106917,414.40618231707566,420.7378474756745
2024-04-08,418.7033386230469,426.1167410783075,416.52002577258594,421.9485818439626
2024-04-15,396.095947265625,423.58608233438275,394.7561698730406,423.36774801643304
2024-04-22,403.24139404296875,409.87077362119237,385.0899655881374,397.0486528008009
2024-04-29,403.57879638671875,404.0650740320478,386.22132541824493,402.1794761296723
2024-05-06,411.59759521484375,412.23276061100023,403.2910177366326,405.66292376206604
2024-05-13,417.0261535644531,422.1967003563549,407.7073152603854,414.8428406482419
2024-05-20,427.6707763671875,431.09087238331284,417.55961423850124,417.7783423677062
2024-05-27,412.7277526855469,428.44626179250577,402.1692127903504,427.1438448579973
2024-06-03,421.3973083496094,423.81323935854607,406.553711235877,413.12544650842176
2024-06-10,440.00897216796875,440.83415582825296,421.4370756513701,422.2423859690987
2024-06-17,447.17724609375,448.3305371349002,438.1696762399023,440.02885021158215
2024-06-24,444.3636169433594,453.5302641718106,443.8267333016812,447.1971003866507
2024-07-01,464.8543395996094,465.6397765538939,443.08107573370313,446.06371545070346
2024-07-08,450.9254150390625,464.9935570376387,448.0422026334216,463.85018750798747
2024-07-15,434.58056640625,454.6139889232855,429.50015094371236,450.6768823607941
2024-07-22,422.8090515136719,445.79528699264137,414.8553456338981,439.23347357363195
2024-07-29,406.12615966796875,429.6492487392807,402.0001807599968,429.08253990650184
2024-08-05,403.6704406738281,407.70694391987155,383.34872002913653,386.9179721891063
2024-08-12,416.04840087890625,418.90178792111476,401.90073605686166,404.70442457523944
2024-08-19,415.1250305175781,425.0850828702447,410.44379375355777,417.28634485653293
2024-08-26,415.4736328125,420.3639917033618,405.6828844606105,414.70668933848526
2024-09-02,400.0953369140625,418.20270578056653,399.1989078370585,416.24057414460304
2024-09-09,428.869873046875,430.1049097614262,400.54348288399837,405.61314567645957
2024-09-16,433.53118896484375,440.08492045189865,426.5093641958097,428.8798615253544
2024-09-23,426.3101501464844,434.71643676950856,424.397837115045,432.54515265011
2024-09-30,414.39794921875,428.7006006676736,412.63503083748446,426.49940714132856
2024-10-07,414.65692138671875,418.7007003520977,406.5394845136815,414.33819240529266
